chrom	start	end	gene1	gene2	gene1_strand	gene2_strand	inter_tss_distance	pair_type	orig_start	orig_end	cpg_overlap_fraction	cpg_obs_exp	cpg_gc_pct	H3K4me3_n_present	H3K4me3_frac_present	H3K4me3_mean	H3K4me3_cv	H3K27ac_n_present	H3K27ac_frac_present	H3K27ac_mean	H3K27ac_cv
chr16	74998859	75000309	ZNRF1	WDR59	+	-	1150	divergent_overlapping	74999023	75000173	1.0	71.3	166.0	11	1.0	26.065274957440785	0.5331304665816986	10	0.9090909090909091	5.122595452393635	0.7485897684449623
chr16	75647366	75648681	TERF2IP	KARS1	+	-	871	divergent_overlapping	75647772	75648643	1.0	67.5	131.0	11	1.0	37.71707680664755	0.47650689096290705	11	1.0	14.253631701587075	0.6588621758683488
chr16	85798632	85800236	COX4I1	EMC8	+	-	976	divergent_overlapping	85798632	85799608	0.8865336658354115	67.4	138.0	11	1.0	44.638798104998244	0.45769934314428434	11	1.0	14.812031388938902	0.5886890231409906
chr16	88856219	88857568	TRAPPC2L	GALNS	+	-	751	divergent_overlapping	88856219	88856970	0.9673832468495182	62.9	120.0	11	1.0	30.00404319772953	0.7109479810518228	10	0.9090909090909091	4.47399320888043	0.686284000490381
chr16	89489407	89491345	ANKRD11	SPG7	-	+	157	divergent_classic	89490561	89490718	1.0	74.1	239.0	11	1.0	20.036150091147196	0.5839063827475265	11	1.0	7.39309797161667	0.6235285141984157
chr16	89656784	89658228	CHMP1A	SPATA33	-	+	1	divergent_classic	89657738	89657739	1.0	69.3	150.0	11	1.0	38.55581896244135	0.6060112940946529	11	1.0	10.429760942174092	0.7264484682228686
chr16	89720399	89722681	ZNF276	VPS9D1	+	-	499	divergent_overlapping	89720399	89720898	0.9868536371603857	66.6	250.0	11	1.0	30.698995923433703	0.5167717517892011	10	0.9090909090909091	11.231412443264908	0.8360856163037659
chr17	781910	782748	GLOD4	MRM3	-	+	58	divergent_classic	782294	782352	1.0	64.6	85.0	11	1.0	48.1445042700029	0.4637831229273028	11	1.0	16.21713444730993	0.6607587252233159
chr17	1829591	1830634	RPA1	SMYD4	+	-	933	divergent_overlapping	1829701	1830634	0.6538830297219559	65.5	75.0	11	1.0	36.036098228491205	0.5498846880518796	11	1.0	7.817961243313854	0.8030517584723484
chr17	2303223	2304085	SRR	SMG6	+	-	403	divergent_overlapping	2303382	2303785	1.0	68.2	100.0	11	1.0	40.057712658388965	0.656646481018522	11	1.0	12.798262454436683	0.5919407558644527
chr17	2336336	2338253	TSR1	SGSM2	-	+	840	divergent_classic	2336657	2337497	1.0	62.3	178.0	11	1.0	25.52715759094838	0.5216701839268949	11	1.0	8.304615992415417	0.70320558061494
chr17	3636024	3637190	SHPK	CTNS	-	+	208	divergent_classic	3636250	3636458	1.0	70.2	114.0	11	1.0	38.783605987766414	0.8161999691963393	11	1.0	11.224890173989944	0.5216253354393146
chr17	3667930	3669324	TAX1BP3	EMC6	-	+	132	divergent_classic	3668679	3668811	1.0	69.7	149.0	11	1.0	34.50649255425324	0.5794487471988291	11	1.0	15.62359205671289	0.7987898096816132
chr17	4142498	4143197	ZZEF1	CYB5D2	-	+	137	divergent_classic	4143030	4143167	1.0	67.4	78.0	11	1.0	31.747832788696993	0.5479580830954913	9	0.8181818181818182	6.664883038973696	0.8012177673737083
chr17	4939563	4940341	RNF167	SLC25A11	+	-	46	divergent_overlapping	4940007	4940053	1.0	55.0	63.0	11	1.0	23.29120505713574	0.45741473802482985	11	1.0	10.403563592070846	0.7245693432494145
chr17	4947647	4950612	ENO3	PFN1	+	-	970	divergent_overlapping	4948091	4949061	1.0	59.9	231.0	11	1.0	27.535298796423543	0.5966301387894319	11	1.0	20.742832705766123	0.6356219577533514
chr17	5419187	5420396	RPAIN	NUP88	+	-	524	divergent_overlapping	5419640	5420164	1.0	58.7	95.0	11	1.0	31.36033443847707	0.4434075464627472	11	1.0	17.769727901645982	0.6257136228455856
chr17	5486070	5486963	MIS12	DERL2	+	-	527	divergent_overlapping	5486284	5486811	1.0	65.2	84.0	11	1.0	23.4801145359977	0.4300935047402958	11	1.0	20.69572500921082	0.569518115792195
chr17	6640034	6641243	KIAA0753	TXNDC17	-	+	273	divergent_classic	6640711	6640984	1.0	66.3	99.0	11	1.0	38.46130661392373	0.6123135158188485	11	1.0	14.526619154869554	0.5945654007698863
chr17	7251105	7252807	ELP5	CTDNEP1	+	-	1076	divergent_overlapping	7251415	7252491	1.0	66.0	131.0	11	1.0	31.162966787144626	0.4892543752857458	11	1.0	18.174005127245774	0.5673125049859119
chr17	7931853	7932251	CNTROB	TRAPPC1	+	-	23	divergent_overlapping	7932100	7932123	1.0	68.3	40.0	11	1.0	18.626250711760054	0.3778465253634224	9	0.8181818181818182	5.273126430258902	0.5241155317237299
chr17	8247617	8248202	PFAS	CTC1	+	-	441	divergent_overlapping	8247617	8248058	0.6735042735042736	63.7	32.0	11	1.0	33.339045956853575	0.44899423149743606	11	1.0	26.077012262072035	0.6965174709106712
chr17	10697108	10698375	ADPRM	SCO1	+	-	782	divergent_overlapping	10697593	10698375	0.6108918705603789	69.3	78.0	11	1.0	37.26523130435344	0.49244853736671196	11	1.0	13.261297919233181	0.4187621559437715
chr17	15999186	16000374	ZSWIM7	TTC19	-	+	66	divergent_classic	15999717	15999783	1.0	66.2	130.0	11	1.0	28.594445939058687	0.5271642020381682	11	1.0	14.159188425809742	0.6321607050441937
chr17	18038884	18040181	ATPAF2	GID4	-	+	198	divergent_classic	18039209	18039407	1.0	66.2	137.0	11	1.0	31.540366472446124	0.5612000387523907	10	0.9090909090909091	5.908009831796789	0.5749430880682984
chr17	18258302	18261358	FLII	MIEF2	-	+	1858	divergent_classic	18258738	18260596	0.5520287958115183	70.2	80.0	11	1.0	17.818816726728514	0.4995976148763093	11	1.0	9.111975777896463	0.6443033178431322
chr17	18314507	18315742	TOP3A	SMCR8	-	+	285	divergent_classic	18315007	18315292	1.0	64.3	117.0	11	1.0	32.87780566672995	0.5689386030985085	11	1.0	13.091682318945782	0.6186413858698389
chr17	19377687	19379228	MAPK7	B9D1	+	-	473	divergent_overlapping	19377720	19378193	1.0	64.6	126.0	11	1.0	26.85228254642949	0.5418420164389056	11	1.0	10.261485353672402	0.6464358291114124
chr17	28335045	28336022	IFT20	TNFAIP1	-	+	112	divergent_classic	28335489	28335601	1.0	66.6	79.0	11	1.0	27.348499123641954	0.4671252124109052	11	1.0	11.498587915991786	0.9375315043671708
chr17	28357139	28357852	POLDIP2	TMEM199	-	+	114	divergent_classic	28357527	28357641	1.0	72.1	78.0	11	1.0	39.914568406850435	0.6195012529079639	11	1.0	14.750373447008819	0.7724390980266019
chr17	28661703	28662373	SDF2	SUPT6H	-	+	8	divergent_classic	28662189	28662197	1.0	54.0	50.0	11	1.0	37.697816466379365	0.5134064059857024	11	1.0	27.23743977473689	0.5866152536765558
chr17	28717150	28720255	RAB34	RPL23A	-	+	1555	divergent_classic	28718429	28719984	0.4180354267310789	65.5	67.5	11	1.0	13.061146938776385	0.4800930635646388	11	1.0	10.45386872064052	0.605171349674506
chr17	28854961	28855301	ERAL1	FAM222B	+	-	223	divergent_overlapping	28855009	28855232	1.0	63.5	29.0	11	1.0	34.14711919481104	0.5264022704721775	11	1.0	11.471192808434923	0.7458665557721836
chr17	32349982	32350441	C17orf75	ZNF207	-	+	108	divergent_classic	32350023	32350131	1.0	58.0	32.0	11	1.0	30.203673361031974	0.6329718319845674	11	1.0	35.576512774569906	0.5463846513745749
chr17	36543435	36545601	MYO19	GGNBP2	-	+	1476	divergent_classic	36543435	36544911	0.6001846722068329	62.4	107.0	11	1.0	26.79164247061765	0.49639092509198185	11	1.0	18.93896460191441	0.7020651186782045
chr17	37406724	37406967	ACACA	TADA2A	-	+	49	divergent_classic	37406836	37406885	1.0	52.7	23.0	11	1.0	16.014935216685604	0.9091728428555795	11	1.0	5.412722021369197	0.7272482255164484
chr17	42609041	42610623	TUBG1	RETREG3	+	-	983	divergent_overlapping	42609640	42610623	0.44374209860935526	59.3	56.0	11	1.0	22.645499703220878	0.5109279183956185	11	1.0	7.878408562992936	0.7012330548949584
chr17	49788612	49789362	KAT7	FAM117A	+	-	557	divergent_overlapping	49788623	49789180	1.0	63.6	67.0	11	1.0	27.645714462457594	0.6848473935819985	11	1.0	22.879993484577753	0.674102652602181
chr17	51259741	51261222	MBTD1	UTP18	-	+	382	divergent_classic	51260163	51260545	1.0	68.3	150.0	11	1.0	31.325686290146848	0.47923148769143015	11	1.0	20.92069957351812	0.5647236942240692
chr17	59707191	59707747	VMP1	PTRH2	+	-	435	divergent_overlapping	59707191	59707626	0.6366906474820144	61.0	28.0	11	1.0	22.896542774820112	0.6942945096068296	10	0.9090909090909091	15.849908155586679	0.6111587031964079
chr17	59892681	59893660	TUBD1	RPS6KB1	-	+	100	divergent_classic	59892945	59893045	1.0	58.3	73.0	11	1.0	30.953370735901842	0.6650565398269382	9	0.8181818181818182	8.612711213064442	0.5819411639027973
chr17	63773324	63776351	DDX42	CCDC47	+	-	2749	divergent_overlapping	63773602	63776351	0.4552362074661381	60.5	118.0	11	1.0	29.607950692725073	0.6170120880814576	11	1.0	13.568747725197955	0.5725781505249905
chr17	64505361	64508199	CEP95	DDX5	+	-	1335	divergent_overlapping	64506864	64508199	0.7353770260747005	60.6	183.0	11	1.0	33.93881810638164	0.4638875680333647	11	1.0	20.393394496062943	0.48917478776708767
chr17	74776105	74776553	NAT9	TMEM104	-	+	131	divergent_classic	74776367	74776498	1.0	70.3	49.0	11	1.0	25.501475998686704	0.5356900751988063	11	1.0	8.364009768440937	0.6223976053723921
chr17	75261099	75262363	MRPS7	GGA3	+	-	690	divergent_overlapping	75261673	75262363	0.7286392405063291	68.1	89.0	11	1.0	38.721187980612896	0.4885550453246627	11	1.0	24.29836183640846	0.4369506908859709
chr17	75666919	75667548	RECQL5	SAP30BP	-	+	61	divergent_classic	75667189	75667250	1.0	59.6	51.0	11	1.0	31.68539088454993	0.5842604941097929	11	1.0	19.29200731099288	0.8005721477903771
chr17	75784765	75785893	UNK	H3-3B	+	-	1088	divergent_overlapping	75784805	75785893	0.4095744680851064	71.9	55.0	11	1.0	19.306851448460847	0.47516235936989204	11	1.0	28.180839926407078	0.4859776937134637
chr17	75978890	75979650	ACOX1	TEN1	-	+	62	divergent_classic	75979177	75979239	1.0	62.8	67.0	11	1.0	27.47285644547777	0.564894763855352	11	1.0	18.657879463070433	0.6133681999932942
chr17	76725949	76727338	JMJD6	METTL23	-	+	30	divergent_classic	76726799	76726829	1.0	67.2	146.0	11	1.0	34.48787083681219	0.631589285118683	11	1.0	20.24876507357423	0.7293940594184968
chr17	76735864	76738140	MFSD11	SRSF2	+	-	1469	divergent_overlapping	76735864	76737333	0.7710896309314587	70.5	221.0	11	1.0	32.89238756209107	0.5195476310722231	11	1.0	17.334124640639587	0.46315109328291765
chr17	81238616	81239971	TEPSIN	NDUFAF8	-	+	213	divergent_classic	81239091	81239304	1.0	67.7	142.0	11	1.0	33.32342187045232	0.5938620190221311	11	1.0	8.543116891072147	0.5403541453269857
chr17	81683164	81684417	HGS	ARL16	+	-	472	divergent_overlapping	81683325	81683797	1.0	71.1	152.0	11	1.0	35.9841247817386	0.657956234664091	11	1.0	10.630245330914374	0.8131223494533423
chr17	81890636	81892105	ANAPC11	ALYREF	+	-	797	divergent_overlapping	81890789	81891586	1.0	69.4	184.0	11	1.0	30.97684639478979	0.5543814180564326	11	1.0	13.949310176090377	0.678510734959994
chr17	82418203	82418885	HEXD	OGFOD3	+	-	320	divergent_overlapping	82418317	82418637	1.0	79.2	98.0	11	1.0	24.961692117671692	0.5737200719964958	9	0.8181818181818182	6.926183732053948	0.7467327262242768
chr18	13725980	13727371	RNMT	FAM210A	+	-	4	divergent_overlapping	13726659	13726663	1.0	65.5	134.0	11	1.0	42.038717093871576	0.48082903485668066	11	1.0	18.512979815240246	0.6360825777664557
chr18	21704204	21705091	ABHD3	MIB1	-	+	176	divergent_classic	21704780	21704956	1.0	57.5	75.0	11	1.0	29.139493423618266	0.5794368696445843	9	0.8181818181818182	7.808281446523538	0.6624544351456056
chr18	36128956	36130273	SLC39A6	ELP2	-	+	58	divergent_classic	36129385	36129443	1.0	67.8	126.0	11	1.0	31.625794742682903	0.36291087207356304	11	1.0	15.954973091508373	0.47551686338702054
chr18	36828595	36829326	KIAA1328	TPGS2	+	-	111	divergent_overlapping	36829105	36829216	1.0	69.6	87.0	11	1.0	31.16353200697657	0.4359116282392781	11	1.0	10.089896030316611	0.6836749862281001
chr18	46104147	46104881	ATP5F1A	HAUS1	-	+	43	divergent_classic	46104334	46104377	1.0	61.7	57.0	11	1.0	29.61614539708065	0.38796626138657625	10	0.9090909090909091	8.885909986537483	0.6872190348165484
chr18	56651225	56651600	WDR7	TXNL1	+	-	258	divergent_overlapping	56651342	56651600	0.8773333333333333	62.9	30.0	11	1.0	29.99240321159363	0.48211612301018436	11	1.0	8.77933298631148	0.7003923095660103
chr18	62186744	62188019	PIGN	RELCH	-	+	136	divergent_classic	62187118	62187254	1.0	57.6	96.0	11	1.0	39.361553823327995	0.4561402911206488	10	0.9090909090909091	10.29757202346368	0.6297131896677888
chr18	75207959	75212227	PTGR3	TSHZ1	-	+	1615	divergent_classic	75209139	75210754	1.0	58.2	353.0	11	1.0	22.778966920825912	0.46196708036539025	10	0.9090909090909091	9.386614346682604	0.5063760313750696
chr18	80033336	80034761	TXNL4A	RBFA	-	+	439	divergent_classic	80033949	80034388	1.0	71.6	179.0	11	1.0	21.814143060299056	0.4241112569915477	11	1.0	8.859387673921113	0.8073909811904708
chr19	2163633	2165604	DOT1L	AP3D1	+	-	536	divergent_overlapping	2163932	2164468	1.0	60.0	176.0	11	1.0	27.154781863441595	0.6143248752019211	10	0.9090909090909091	10.129701762608514	0.7212696537587229
chr19	2235682	2237704	SF3A2	PLEKHJ1	+	-	881	divergent_overlapping	2236823	2237704	0.7027695351137487	71.6	157.0	11	1.0	27.321566380293085	0.5084842955781069	11	1.0	12.16470416959844	0.5441091826917873
chr19	2328365	2329090	LSM7	SPPL2B	-	+	3	divergent_classic	2328611	2328614	1.0	66.3	83.0	11	1.0	40.99055139988923	0.6134605533528458	11	1.0	13.273797489652027	0.8432120739177322
chr19	2782896	2785841	SGTA	THOP1	-	+	2140	divergent_classic	2783362	2785502	0.4594227504244482	70.25	72.0	11	1.0	12.80109896840324	0.4247296487146635	10	0.9090909090909091	6.7338148757841445	0.6305561834087026
chr19	3572547	3574554	HMG20B	MFSD12	+	-	1514	divergent_overlapping	3572776	3574290	1.0	67.7	167.0	11	1.0	21.438838691214865	0.55329064149926	10	0.9090909090909091	5.1493337006832745	0.5898584258882151
chr19	4400120	4403094	SH3GL1	CHAF1A	-	+	2092	divergent_classic	4400547	4402639	0.4280430396772024	60.8	63.0	11	1.0	13.928762172964097	0.4570076793224474	10	0.9090909090909091	8.631064824071197	0.40288194113073905
chr19	5622237	5624046	SAFB	SAFB2	+	-	1012	divergent_overlapping	5623034	5624046	0.8092868988391376	68.7	173.0	11	1.0	35.88976860262843	0.5217835441859501	11	1.0	14.079390365867688	0.6207192493147702
chr19	6737228	6737924	GPR108	TRIP10	-	+	344	divergent_classic	6737580	6737924	0.7772988505747126	71.7	59.0	11	1.0	16.60820288934444	0.7315089160349502	11	1.0	9.615336593857878	0.4658404479857527
chr19	7629209	7629787	XAB2	PET100	-	+	242	divergent_classic	7629545	7629787	0.8685121107266436	59.2	42.0	11	1.0	30.644462579311572	0.46307971050382546	10	0.9090909090909091	12.802224406775503	1.0779417578781805
chr19	8321157	8322088	RPS28	NDUFA7	+	-	218	divergent_overlapping	8321157	8321375	0.9559613319011815	64.5	79.0	11	1.0	40.76708624375066	0.4623453110120206	11	1.0	17.311067742019347	0.5712720396151645
chr19	9827649	9828139	FBXL12	UBL5	-	+	75	divergent_classic	9827816	9827891	1.0	66.7	44.0	11	1.0	40.674082062832724	0.4446919208002227	11	1.0	9.136824338414748	0.45527785289238265
chr19	10928280	10929609	YIPF2	TIMM29	-	+	129	divergent_classic	10928681	10928810	1.0	69.9	145.0	11	1.0	43.17162739823665	0.701093691989696	10	0.9090909090909091	5.239552086698404	0.6918637261780827
chr19	12666516	12666824	MAN2B1	WDR83	-	+	59	divergent_classic	12666742	12666801	1.0	73.4	31.0	11	1.0	26.450476039398936	0.4964240870740754	10	0.9090909090909091	6.012586241642975	0.6260356941933078
chr19	12666516	12670280	WDR83	WDR83OS	+	-	2614	divergent_overlapping	12666801	12669415	0.4269394261424017	66.9	63.0	11	1.0	20.259863033921484	0.4121963565961354	11	1.0	9.495607126514177	0.711101265663077
chr19	13116083	13117567	NACC1	TRMT1	+	-	706	divergent_overlapping	13116861	13117567	0.5141509433962265	60.9	59.0	11	1.0	36.84574213244813	0.6254727330714185	11	1.0	9.481957255133008	0.5180033915026689
chr19	13149748	13154110	STX10	IER2	-	+	27	divergent_classic	13150383	13150410	1.0	62.6	337.0	11	1.0	34.41259743452322	0.5117133037320708	11	1.0	21.859857497982038	0.6016114456233106
chr19	18919115	18919844	COPE	DDX49	-	+	317	divergent_classic	18919387	18919704	1.0	51.7	56.0	11	1.0	25.6610578954354	0.6755991386860208	11	1.0	12.96536636783643	0.6600841259244459
chr19	19033115	19034023	ARMC6	SUGP2	+	-	449	divergent_overlapping	19033574	19034023	0.9944933920704846	68.7	116.0	11	1.0	29.87126645219577	0.5237983575770679	11	1.0	16.573374650754545	0.6489388344756727
chr19	19192045	19192813	RFXANK	BORCS8	+	-	363	divergent_overlapping	19192228	19192591	0.7369791666666666	65.94999999999999	24.5	11	1.0	25.742151365232885	0.5604011508179879	11	1.0	19.15227807495838	0.5013611051466453
chr19	19320157	19321385	SUGP1	MAU2	-	+	319	divergent_classic	19320509	19320828	1.0	66.0	114.0	11	1.0	37.632063464363206	0.507936782628566	11	1.0	18.035112817567327	0.45464885202752126
chr19	36113457	36116004	TBCB	POLR2I	+	-	925	divergent_overlapping	36114288	36115213	1.0	62.0	187.0	11	1.0	23.746610868677998	0.5495329893905033	11	1.0	7.672640366907498	0.6981509815407083
chr19	36850016	36851098	ZNF345	ZNF790	+	-	427	divergent_overlapping	36850360	36850787	0.566543438077634	62.15	23.5	11	1.0	30.33687485391926	0.7314321014166006	10	0.9090909090909091	5.747362769354276	0.6111584512846885
chr19	37466824	37469713	ZNF570	ZNF569	+	-	1691	divergent_overlapping	37467584	37469275	0.4939425406715126	65.15	60.5	11	1.0	20.562618602138084	0.4396873843048204	9	0.8181818181818182	4.6188910756383725	0.5970139996062371
chr19	38930423	38930975	SARS2	MRPS12	-	+	180	divergent_classic	38930763	38930943	1.0	63.2	58.0	11	1.0	17.19720148334037	0.48838648690089	11	1.0	15.724946542518587	0.6033958667532339
chr19	39341858	39343033	GMFG	SAMD4B	-	+	48	divergent_classic	39342372	39342420	0.7634042553191489	64.15	40.0	11	1.0	18.09437767773024	0.5493992402110552	9	0.8181818181818182	5.214123855289859	0.628883041299741
chr19	39390692	39391524	PAF1	MED29	-	+	148	divergent_classic	39391154	39391302	1.0	63.9	72.0	11	1.0	25.491525472533684	0.5008306190985213	11	1.0	18.13703234335241	0.7236100020402563
chr19	39435584	39436223	RPS16	SUPT5H	-	+	206	divergent_classic	39435949	39436155	1.0	62.1	56.0	11	1.0	33.23937197184135	0.5747040566701866	11	1.0	15.644078072629805	0.5686441004529506
chr19	41397209	41397807	EXOSC5	BCKDHA	-	+	445	divergent_classic	41397362	41397807	0.41304347826086957	66.8	27.0	11	1.0	12.662769760178303	0.38280844699851374	11	1.0	21.911296300834316	0.7221227210913993
chr19	42220038	42220513	DEDD2	ZNF526	-	+	151	divergent_classic	42220140	42220291	1.0	66.3	41.0	11	1.0	24.28394191994279	0.5971738371953386	10	0.9090909090909091	8.95867071068496	0.7313880432906962
chr19	43595981	43596688	IRGQ	ZNF576	-	+	257	divergent_classic	43596134	43596391	1.0	64.4	59.0	11	1.0	14.89227606268153	0.3857474999915042	11	1.0	16.468950550532863	0.44348313815992274
chr19	45178065	45179898	TRAPPC6A	BLOC1S3	-	+	546	divergent_classic	45178237	45178783	1.0	59.0	151.0	11	1.0	23.998113161940765	0.44444911601024595	10	0.9090909090909091	12.16164893094819	0.866560466678694
chr19	46745984	46746994	FKRP	STRN4	+	-	949	divergent_overlapping	46746045	46746994	0.7	64.5	87.0	11	1.0	27.62851067695415	0.5655514241521729	11	1.0	7.520608666410182	0.5898548749686178
chr19	47112698	47113844	SAE1	ZC3H4	+	-	503	divergent_overlapping	47113273	47113776	0.7495636998254799	62.0	36.5	11	1.0	26.2645584516073	0.506406269609111	11	1.0	35.22557732103146	0.5398386337639993
chr19	48619020	48619666	RPL18	SPHK2	-	+	106	divergent_classic	48619184	48619290	1.0	66.1	67.0	11	1.0	16.93258924502958	0.5444079141406013	11	1.0	8.162547712262224	0.5161271246163784
chr19	49590262	49592250	NOSIP	PRR12	-	+	919	divergent_classic	49590262	49591181	0.9305835010060363	56.6	131.0	11	1.0	27.965866884934375	0.40665724355570043	11	1.0	11.42103225267911	0.6449708236143453
chr19	49639966	49642507	RRAS	SCAF1	-	+	2065	divergent_classic	49640143	49642208	0.5659189295552932	64.85	70.5	11	1.0	15.321024125988858	0.48437723262958227	11	1.0	22.623763873681987	0.47706492966597686
chr19	49876139	49878351	TBC1D17	PNKP	+	-	686	divergent_overlapping	49877665	49878351	0.9805605786618445	62.3	159.0	11	1.0	23.78173561212983	0.3610509483935728	11	1.0	24.23464826634473	0.5474700010955165
chr19	49928701	49929881	ATF5	NUP62	+	-	1063	divergent_overlapping	49928701	49929764	0.6644067796610169	62.1	70.0	11	1.0	38.251717085965396	0.5727185832855467	11	1.0	21.561454195350464	0.5510313102755955
chr19	50024919	50026229	ZNF473	VRK3	+	-	233	divergent_overlapping	50025713	50025946	1.0	60.8	100.0	11	1.0	23.361264385530205	0.33717291808997135	11	1.0	14.92655018178304	0.7983164365362835
chr19	52170935	52171643	PPP2R1A	ZNF836	+	-	708	divergent_overlapping	52170935	52171643	0.7457627118644068	59.1	38.0	11	1.0	41.71983515550534	0.6476366938445922	9	0.8181818181818182	6.817785279107377	0.776499966763626
chr19	54115272	54115787	PRPF31	TFPT	+	-	248	divergent_overlapping	54115409	54115657	1.0	58.6	45.0	11	1.0	26.416863595923804	0.5068602075760414	11	1.0	12.786877814415675	0.4658674189409845
chr19	55599335	55602866	ZNF524	FIZ1	+	-	1949	divergent_overlapping	55600021	55601970	0.5004248088360238	64.15	72.5	11	1.0	12.816010744311313	0.46034529350792963	11	1.0	10.225887066117563	0.4434653955453837
chr2	263400	266398	ACP1	SH3YL1	+	-	2259	divergent_overlapping	264139	266398	0.6130753835890593	68.0	182.0	11	1.0	21.87683061889836	0.5443196789935707	11	1.0	6.941226135506232	0.6585373117823424
chr2	3377573	3380205	EIPR1	TRAPPC12	-	+	1844	divergent_classic	3377830	3379674	0.45364741641337386	67.1	54.0	11	1.0	18.76903812571844	0.3700823894393042	11	1.0	9.807625578807842	0.6769236404373479
chr2	9422997	9424153	ITGB1BP1	CPSF3	-	+	122	divergent_classic	9423528	9423650	1.0	67.1	118.0	11	1.0	35.149471572424254	0.5221353295932929	11	1.0	13.052007622114992	0.6377112661690477
chr2	23926386	23927484	ATAD2B	UBXN2A	-	+	161	divergent_classic	23927123	23927284	1.0	65.7	113.0	11	1.0	38.84049825087602	0.7472692138809953	11	1.0	21.35489159671225	0.6153945049988102
chr2	24076099	24077424	SF3B6	FAM228B	-	+	152	divergent_classic	24076373	24076525	1.0	66.9	99.0	11	1.0	24.13963634151138	0.6715623606277051	10	0.9090909090909091	6.498686644976635	0.730491448174316
chr2	26243169	26245078	HADHB	HADHA	+	-	1503	divergent_overlapping	26243169	26244672	0.4421162912519644	62.8	60.0	11	1.0	32.07811749088858	0.5563763643980979	11	1.0	14.843933054082756	0.6453832181926149
chr2	27211564	27212958	ATRAID	SLC5A6	+	-	918	divergent_overlapping	27212040	27212958	0.9239598278335724	61.3	116.0	11	1.0	30.00565742677733	0.3535636033135572	11	1.0	21.607798625490027	0.49253398659481396
chr2	27369978	27371232	EIF2B4	SNX17	-	+	157	divergent_classic	27370338	27370495	1.0	66.1	122.0	11	1.0	36.68716513385216	0.7166820980769913	11	1.0	13.809231367448668	0.7944030504989624
chr2	27663392	27664543	SLC4A1AP	SUPT7L	+	-	415	divergent_overlapping	27663425	27663840	1.0	59.5	78.0	11	1.0	38.40461762384336	0.45122944675375054	11	1.0	15.579966441424887	0.6986363273212413
chr2	27889940	27890897	BABAM2	RBKS	+	-	741	divergent_overlapping	27889940	27890681	0.735632183908046	69.2	78.0	11	1.0	29.180713892101675	0.4284288473236538	11	1.0	18.73193836304614	0.5067247459343858
chr2	37083929	37084750	HEATR5B	GPATCH11	-	+	145	divergent_classic	37084372	37084517	1.0	62.2	72.0	11	1.0	33.22263856346587	0.5881982190395117	9	0.8181818181818182	7.943317964958272	0.6456080790670097
chr2	37231255	37232056	CEBPZ	NDUFAF7	-	+	34	divergent_classic	37231596	37231630	1.0	63.0	72.0	11	1.0	38.87744804463961	0.5013869424895047	11	1.0	17.279262040364358	0.5206530793466595
chr2	38750393	38751542	SRSF7	GEMIN6	-	+	39	divergent_classic	38751494	38751533	1.0	62.7	116.0	11	1.0	30.949461503249662	0.42928381578351826	11	1.0	18.816110911529467	0.5954943933153184
chr2	38875520	38876073	DHX57	MORN2	-	+	41	divergent_classic	38875934	38875975	1.0	66.0	42.0	11	1.0	39.044162331242006	0.6735660865320297	11	1.0	8.741107499756561	1.1181949298493585
chr2	44361815	44362219	PREPL	CAMKMT	-	+	84	divergent_classic	44361862	44361946	1.0	59.9	30.0	11	1.0	23.502316516315908	0.5291236425479837	10	0.9090909090909091	11.964395813617555	0.5723187894950424
chr2	46616415	46617193	CRIPT	PIGF	+	-	640	divergent_overlapping	46616415	46617055	0.8766066838046273	67.7	64.0	11	1.0	34.806159265583624	0.5721120956751043	11	1.0	11.669598987844314	0.5838365021030218
chr2	53970511	53971353	ACYP2	PSME4	+	-	156	divergent_overlapping	53970837	53970993	1.0	62.5	81.0	11	1.0	31.79152523511453	0.6157988772180698	11	1.0	19.146902192593902	0.6184936665839217
chr2	61888310	61888855	CCT4	COMMD1	-	+	52	divergent_classic	61888671	61888723	1.0	67.5	65.0	11	1.0	38.9028145697437	0.6976552425567847	11	1.0	26.41018062985073	0.7191224698053765
chr2	68157052	68158109	DNAAF10	PNO1	-	+	338	divergent_classic	68157549	68157887	1.0	59.2	70.0	11	1.0	28.10901871606435	0.38906957765712613	11	1.0	23.309913810236868	0.6188172605773695
chr2	71130057	71130822	MCEE	MPHOSPH10	-	+	70	divergent_classic	71130239	71130309	1.0	64.1	75.0	11	1.0	35.32756019892469	0.5592238038634646	11	1.0	14.47243649893253	0.6369162618970367
chr2	73232957	73234739	PRADC1	CCT7	-	+	180	divergent_classic	73233239	73233419	1.0	56.1	142.0	11	1.0	30.784213651954314	0.539723364763517	11	1.0	10.27388183515446	0.5202409245875736
chr2	74482037	74483408	TTC31	CCDC142	+	-	336	divergent_overlapping	74483072	74483408	0.6900072939460248	68.8	96.0	11	1.0	39.71071001027395	0.7122889770207643	11	1.0	10.859470339535697	0.6942522422145772
chr2	74529096	74530803	HTRA2	AUP1	+	-	165	divergent_overlapping	74529595	74529760	1.0	65.4	146.0	11	1.0	32.450364049595784	0.49441507424723036	11	1.0	11.835990785545853	0.7305719494950877
chr2	85354393	85354840	ELMOD3	RETSAT	+	-	138	divergent_overlapping	85354393	85354531	0.7404921700223713	61.3	25.0	11	1.0	19.71458179650812	0.5428225464044991	9	0.8181818181818182	4.899127814479783	0.6372885909281412
